KlasseMerkmalWert_Nr;KlasseMerkmal_Nr;Wert_ID;Klassifikationssystem_ID
699;365;AAA137v001;pc-5.0
700;365;AAA138v001;pc-5.0
701;365;AAA139v001;pc-5.0
702;365;AAA140v001;pc-5.0
703;365;AAA145v001;pc-5.0
704;365;AAA147v001;pc-5.0
705;365;AAA148v001;pc-5.0
706;365;AAA149v001;pc-5.0
707;365;AAA270v001;pc-5.0
708;372;AAA113v001;pc-5.0
709;372;AAA270v001;pc-5.0
710;378;AAA135v001;pc-5.0
711;378;AAA270v001;pc-5.0
712;379;AAA069v001;pc-5.0
713;379;AAA136v001;pc-5.0
714;379;AAA156v001;pc-5.0
715;379;AAA270v001;pc-5.0
716;381;AAA107v001;pc-5.0
717;381;AAA152v001;pc-5.0
718;381;AAA270v001;pc-5.0
719;387;AAA134v001;pc-5.0
720;387;AAA135v001;pc-5.0
721;387;AAA153v001;pc-5.0
722;387;AAA270v001;pc-5.0
723;388;AAA136v001;pc-5.0
724;388;AAA145v001;pc-5.0
725;388;AAA154v001;pc-5.0
726;388;AAA155v001;pc-5.0
727;388;AAA156v001;pc-5.0
728;388;AAA270v001;pc-5.0
729;389;AAA067v001;pc-5.0
730;389;AAA270v001;pc-5.0
731;394;AAA157v001;pc-5.0
732;394;AAA158v001;pc-5.0
733;394;AAA270v001;pc-5.0
734;395;AAA136v001;pc-5.0
735;395;AAA155v001;pc-5.0
736;395;AAA270v001;pc-5.0
737;401;AAA067v001;pc-5.0
738;401;AAA113v001;pc-5.0
739;401;AAA162v001;pc-5.0
740;401;AAA270v001;pc-5.0
742;408;AAA136v001;pc-5.0
743;408;AAA138v001;pc-5.0
744;408;AAA139v001;pc-5.0
745;408;AAA156v001;pc-5.0
746;408;AAA163v001;pc-5.0
747;408;AAA270v001;pc-5.0
748;416;AAA113v001;pc-5.0
749;416;AAA164v001;pc-5.0
750;416;AAA270v001;pc-5.0
752;422;AAA136v001;pc-5.0
753;422;AAA138v001;pc-5.0
754;422;AAA139v001;pc-5.0
755;422;AAA145v001;pc-5.0
756;422;AAA154v001;pc-5.0
757;422;AAA155v001;pc-5.0
758;422;AAA156v001;pc-5.0
759;422;AAA163v001;pc-5.0
760;422;AAA270v001;pc-5.0
761;427;AAA025v001;pc-5.0
762;427;AAA165v001;pc-5.0
763;427;AAA270v001;pc-5.0
765;434;AAA134v001;pc-5.0
766;434;AAA135v001;pc-5.0
767;434;AAA166v001;pc-5.0
768;434;AAA270v001;pc-5.0
769;435;AAA167v001;pc-5.0
770;435;AAA270v001;pc-5.0
771;437;AAA113v001;pc-5.0
