Schlagwort_ID;Schlagwortbezeichnung;Klassifikationssystem_ID
AAA447s001;Hammerschrauben;pc-6.1
AAB608s001;Hammerschraube;pc-6.1
AAA448s001;Senkschrauben;pc-6.1
AAB654s001;Senkschraube;pc-6.1
AAA449s001;Sechskant-Passschrauben;pc-6.1
AAB652s001;Sechskant-Paßschraube;pc-6.1
AAB726s001;Passschraube sechskant;pc-6.1
AAB727s001;Passschrauben sechskant;pc-6.1
AAB728s001;Passschraube;pc-6.1
AAB729s001;Passschrauben;pc-6.1
AAE264s001;Sechskantpassschraube;pc-6.1
AAE265s001;Sechskantpassschrauben;pc-6.1
AAA450s001;Verschlussschrauben;pc-6.1
AAB678s001;Verschlussschraube;pc-6.1
FAA075s001;Blindstopfen;pc-6.1
FAA076s001;Explosionsgeschützte Verschlussschraube;pc-6.1
FAA077s001;Explosionsgeschützter Verschlussstopfen;pc-6.1
FAA078s001;Ex-Schraubverschluss;pc-6.1
FAA079s001;Ex-Verschlussschraube;pc-6.1
FAA080s001;Ex-Verschluss-Schraube;pc-6.1
FAA081s001;Ex-Verschlussstopfen;pc-6.1
FAA082s001;Kunststoffschraube;pc-6.1
FAA083s001;Messing-Verschlussschraube;pc-6.1
FAA084s001;Messing-Verschlussstopfen;pc-6.1
FAA085s001;Verschluss-Schraube;pc-6.1
FAA086s001;Verschlussstopfen;pc-6.1
AAA451s001;Innensechskantschrauben;pc-6.1
AAB615s001;Innensechskantschraube;pc-6.1
AAD026s001;Inbusschraube;pc-6.1
AAD027s001;Inbusschrauben;pc-6.1
AAD028s001;Inbus-Schraube;pc-6.1
AAD029s001;Inbus-Schrauben;pc-6.1
AAD030s001;Innensechskant-Schraube;pc-6.1
AAD031s001;Innensechskant-Schrauben;pc-6.1
AAA452s001;Bohrschrauben;pc-6.1
AAB189s001;Bohrschraube;pc-6.1
AAE245s001;Schraube (nicht metrisch);pc-6.1
FAA087s001;Schnellbauschraube;pc-6.1
AAA453s001;Flügelschrauben;pc-6.1
AAB597s001;Flügelschraube;pc-6.1
AAA454s001;Kreuzlochschrauben;pc-6.1
AAB624s001;Kreuzlochschraube;pc-6.1
AAD032s001;Kreuzschlitzschraube;pc-6.1
AAD033s001;Kreuzschlitz-Schraube;pc-6.1
AAD034s001;Kreuzschlitzschrauben;pc-6.1
AAD035s001;Kreuzschlitz-Schrauben;pc-6.1
AAA455s001;Schaftschrauben;pc-6.1
AAB645s001;Schaftschraube;pc-6.1
AAA456s001;Halfenschrauben;pc-6.1
AAB605s001;Halfenschraube;pc-6.1
AAA457s001;Spenglerschrauben;pc-6.1
AAB662s001;Spenglerschraube;pc-6.1
AAA458s001;Fassadenbauschrauben;pc-6.1
AAB584s001;Fassadenbauschraube;pc-6.1
AAA459s001;Stockschrauben;pc-6.1
AAB670s001;Stockschraube;pc-6.1
AAA460s001;Drallhaftschrauben;pc-6.1
AAB572s001;Drallhaftschraube;pc-6.1
AAF933s001;Drallschraube;pc-6.1
