Wert_ID;Wertbezeichnung;Klassifikationssystem_ID
AAA385v001;violett;pc-5.1
AAA386v001;grün-gelb;pc-5.1
AAA387v001;S1;pc-5.1
AAA388v001;S2;pc-5.1
AAA389v001;S3;pc-5.1
AAA391v001;S5;pc-5.1
AAA392v001;12;pc-5.1
AAA393v001;A;pc-5.1
AAA394v001;B;pc-5.1
AAA395v001;D;pc-5.1
AAA396v001;Elastomere;pc-5.1
AAA397v001;Karton;pc-5.1
AAA398v001;universal;pc-5.1
AAA400v001;Gehörschutz;pc-5.1
AAA401v001;Gesichtsschutz;pc-5.1
AAA403v001;NiCd;pc-5.1
AAA405v001;amerikanische Form;pc-5.1
AAA406v001;Stahl 14 H;pc-5.1
AAA407v001;Temperguss/Stahl blank;pc-5.1
AAA408v001;Temperguss/Stahl blank galvanisch verzinkt;pc-5.1
AAA409v001;Stahl gepresst galvanisch verzinkt;pc-5.1
AAA410v001;niedrige Form;pc-5.1
AAA411v001;Kupfer;pc-5.1
AAA412v001;Senkholzschraube;pc-5.1
AAA413v001;Stahl 45 H;pc-5.1
AAA414v001;einseitig;pc-5.1
AAA415v001;beige;pc-5.1
AAA416v001;elektrisch;pc-5.1
AAA421v001;Ständer;pc-5.1
AAA422v001;Tisch;pc-5.1
AAA423v001;portabel;pc-5.1
AAA424v001;stationär;pc-5.1
AAA425v001;DIN 8606;pc-5.1
AAA426v001;DIN 8605/8606;pc-5.1
AAA427v001;zyklengesteuert;pc-5.1
AAA428v001;DIN 8515;pc-5.1
AAA429v001;DIN 8516;pc-5.1
AAA430v001;rechts;pc-5.1
AAA431v001;links;pc-5.1
AAA432v001;anzeigend, mechanisch;pc-5.1
AAA433v001;anzeigend, elektronisch;pc-5.1
AAA434v001;auslösend, mechanisch, fest eingestellt;pc-5.1
AAA435v001;auslösend, mechanisch, einstellbar;pc-5.1
AAA436v001;einarmiger Hebel;pc-5.1
AAA437v001;doppelarmiger Hebel;pc-5.1
AAA438v001;Messuhr;pc-5.1
AAA439v001;elektronisch (Display);pc-5.1
AAA440v001;Vogelzunge;pc-5.1
AAA441v001;Messer;pc-5.1
AAA442v001;dreikant;pc-5.1
AAA443v001;Barett;pc-5.1
AAA444v001;Schwert;pc-5.1
AAA445v001;halbrund;pc-5.1
AAA446v001;flachspitz;pc-5.1
AAA447v001;flachstumpf;pc-5.1
AAA448v001;konisch;pc-5.1
AAA449v001;Edelstahl-Guss, Gusseisen;pc-5.1
AAA450v001;NE-Metalle;pc-5.1
AAA454v001;TiCN-Schicht;pc-5.1
AAA455v001;M42;pc-5.1
AAA456v001;PM HSS-E;pc-5.1
AAA457v001;HSCO;pc-5.1
AAA458v001;Cermet;pc-5.1
AAA459v001;VHM;pc-5.1
AAA460v001;PKD;pc-5.1
AAA461v001;WF;pc-5.1
AAA463v001;WR;pc-5.1
AAA467v001;KUD;pc-5.1
AAA468v001;WRC;pc-5.1
AAA469v001;SPG;pc-5.1
AAA470v001;SKM;pc-5.1
AAA471v001;KSJ;pc-5.1
AAA472v001;KSK;pc-5.1
AAA473v001;RBF;pc-5.1
AAA474v001;KEL;pc-5.1
AAA475v001;TRE;pc-5.1
AAA476v001;WKN;pc-5.1
AAA477v001;SCHX;pc-5.1
AAA478v001;VBMX;pc-5.1
AAA479v001;TiN-Schicht;pc-5.1
AAA480v001;HSS-E;pc-5.1
AAA481v001;WN;pc-5.1
AAA483v001;Holzgriff;pc-5.1
AAA484v001;Knebelgriff;pc-5.1
AAA485v001;sechsfach;pc-5.1
AAA486v001;einfach;pc-5.1
AAA487v001;Hohlprofilschiene;pc-5.1
AAA488v001;Vollprofilschiene;pc-5.1
AAA489v001;15x5;pc-5.1
AAA490v001;20x5;pc-5.1
AAA491v001;25x6;pc-5.1
AAA492v001;30x8;pc-5.1
AAA493v001;40x10;pc-5.1
AAA494v001;27x7;pc-5.1
AAA495v001;29x9;pc-5.1
AAA496v001;32x10;pc-5.1
AAA497v001;35x9;pc-5.1
AAA498v001;35x11;pc-5.1
AAA499v001;zweifach;pc-5.1
AAA500v001;Profilstahl;pc-5.1
AAA501v001;11,5x5,6;pc-5.1
AAA502v001;13,5x6,5;pc-5.1
AAA503v001;16x7,5;pc-5.1
AAA504v001;19,5x9,5;pc-5.1
AAA505v001;22x10,5;pc-5.1
AAA506v001;25x12;pc-5.1
AAA507v001;27x13;pc-5.1
AAA508v001;pulverbeschichtet;pc-5.1
AAA509v001;T-Profil;pc-5.1
AAA511v001;30x15;pc-5.1
AAA512v001;40x20;pc-5.1
AAA513v001;50x25;pc-5.1
AAA514v001;SW 19;pc-5.1
AAA515v001;SW 36;pc-5.1
AAA518v001;gedreht;pc-5.1
AAA519v001;40x11;pc-5.1
AAA529v001;Temperguss kunststoffbeschichtet;pc-5.1
AAA530v001;Kanten und Stirnseiten spannen;pc-5.1
AAA531v001;Verleimen von Vollholzkanten;pc-5.1
AAA533v001;Spannen auf dem Maschinentisch;pc-5.1
AAA534v001;mit Aluminium-Druckschuh;pc-5.1
AAA535v001;geschlossen;pc-5.1
AAA536v001;BAS;pc-5.1
AAA537v001;BSP;pc-5.1
AAA538v001;13;pc-5.1
AAA539v001;16,5;pc-5.1
